customer_id,recency,frequency,monetary,Segment
CS1216,139,24,1798,P2
CS1217,77,20,1431,P2
CS1218,37,24,1687,P2
CS1219,4,21,1447,P0
CS1220,20,9,720,P2
CS1221,163,19,1372,P2
CS1222,45,21,1585,P2
CS1223,53,17,1299,P2
CS1224,115,8,578,P2
CS1225,47,17,999,P2
CS1226,54,18,1213,P2
CS1227,25,27,1783,P0
CS1228,46,19,1368,P2
CS1229,27,19,1194,P0
CS1230,5,20,1415,P0
CS1231,154,23,1750,P2
CS1232,95,20,1452,P2
CS1233,115,21,1374,P2
CS1234,4,21,1349,P0
CS1235,141,22,1507,P2
CS1236,42,22,1668,P2
CS1237,200,24,1823,P2
CS1238,20,26,1808,P0
CS1239,252,11,771,P2
CS1240,3,30,2126,P0
CS1241,28,27,1818,P0
CS1242,59,13,943,P1
CS1243,38,17,1087,P2
CS1244,141,21,1492,P2
CS1245,72,19,1321,P2
CS1246,295,20,1431,P2
CS1247,28,28,1773,P0
CS1248,9,17,1172,P0
CS1249,89,23,1846,P2
CS1250,12,24,1625,P0
CS1251,2,14,1035,P2
CS1252,107,18,1411,P2
CS1253,74,17,1399,P2
CS1254,3,21,1599,P0
CS1255,67,29,1998,P2
CS1256,213,19,1304,P2
CS1257,25,15,1050,P0
CS1258,25,22,1458,P0
CS1259,168,22,1679,P2
CS1260,146,26,1941,P2
CS1261,87,26,1943,P2
CS1262,84,16,1040,P2
CS1263,3,14,1096,P2
CS1264,3,12,959,P2
CS1265,51,14,1128,P2
CS1266,39,15,1076,P2
CS1267,110,26,1812,P2
CS1268,65,27,1946,P2
CS1269,68,19,1272,P2
CS1270,27,27,1990,P0
CS1271,35,25,1683,P2
CS1272,17,19,1279,P0
CS1273,27,25,1800,P0
CS1274,5,20,1381,P0
CS1275,0,18,1321,P0
CS1276,27,21,1505,P0
CS1277,88,17,1142,P2
CS1278,109,22,1572,P2
CS1279,47,21,1411,P2
CS1280,13,21,1262,P0
CS1281,12,23,1715,P0
CS1282,132,15,1014,P2
CS1283,19,22,1683,P0
CS1284,5,24,1836,P0
CS1285,25,24,1778,P0
CS1286,68,21,1511,P2
CS1287,190,20,1440,P2
CS1288,251,17,1125,P2
CS1289,3,19,1355,P0
CS1290,96,20,1625,P2
CS1291,0,15,1006,P0
CS1292,21,18,1307,P0
CS1293,74,21,1625,P2
CS1294,34,30,2129,P2
CS1295,3,22,1487,P0
CS1296,12,21,1505,P0
CS1297,64,12,765,P1
CS1298,44,21,1561,P2
CS1299,100,21,1552,P2
CS1300,7,18,1309,P0
CS1301,25,19,1250,P0
CS1302,30,19,1278,P0
CS1303,42,22,1634,P2
CS1304,79,15,874,P2
CS1305,105,16,1031,P2
CS1306,4,15,1153,P0
CS1307,73,18,1220,P2
CS1308,18,21,1487,P0
CS1309,64,12,761,P1
CS1310,120,15,1103,P2
CS1311,34,18,1129,P2
CS1312,18,16,1353,P0
CS1313,11,29,2072,P0
CS1314,519,13,891,P2
CS1315,74,15,1030,P2
CS1316,29,26,1726,P0
CS1317,18,16,1146,P0
CS1318,16,22,1693,P0
CS1319,88,18,1161,P2
CS1320,12,18,1382,P0
CS1321,0,21,1668,P0
CS1322,5,26,1964,P0
CS1323,125,23,1595,P2
CS1324,208,24,1611,P2
CS1325,203,18,1209,P2
CS1326,24,27,1940,P0
CS1327,14,23,1525,P0
CS1328,218,15,1043,P2
CS1329,122,17,1158,P2
CS1330,27,23,1750,P0
CS1331,10,15,1170,P0
CS1332,130,29,2010,P2
CS1333,46,8,625,P1
CS1334,79,25,1781,P2
CS1335,121,17,1157,P2
CS1336,108,24,1696,P2
CS1337,36,22,1668,P2
CS1338,19,18,1436,P0
CS1339,59,23,1680,P2
CS1340,126,20,1506,P2
CS1341,68,13,1038,P2
CS1342,1,16,1326,P0
CS1343,67,21,1489,P2
CS1344,24,25,1638,P0
CS1345,100,18,1193,P2
CS1346,167,15,1072,P2
CS1347,4,30,2000,P0
CS1348,58,22,1583,P2
CS1349,16,16,1086,P0
CS1350,32,27,1996,P2
CS1351,122,21,1505,P2
CS1352,40,20,1424,P2
CS1353,205,19,1408,P2
CS1354,407,16,1324,P2
CS1355,48,23,1507,P2
CS1356,80,24,1740,P2
CS1357,153,26,1775,P2
CS1358,11,19,1408,P0
CS1359,20,16,1145,P0
CS1360,42,18,1282,P2
CS1361,17,19,1470,P0
CS1362,6,23,1703,P0
CS1363,201,24,1632,P2
CS1364,66,27,1864,P2
CS1365,17,19,1225,P0
CS1366,27,22,1493,P0
CS1367,67,29,2146,P2
CS1368,4,15,960,P2
CS1369,46,25,1746,P2
CS1370,141,26,1864,P2
CS1371,159,22,1496,P2
CS1372,278,19,1412,P2
CS1373,85,30,1967,P2
CS1374,164,19,1357,P2
CS1375,127,17,1165,P2
CS1376,34,25,1512,P2
CS1377,143,18,1505,P2
CS1378,25,25,1671,P0
CS1379,136,15,1134,P2
CS1380,16,26,1857,P0
CS1381,389,22,1449,P2
CS1382,4,25,1845,P0
CS1383,115,25,1878,P2
CS1384,12,17,964,P2
CS1385,5,22,1478,P0
CS1386,71,14,998,P1
CS1387,127,18,1238,P2
CS1388,30,19,1275,P0
CS1389,19,18,1189,P0
CS1390,44,19,1210,P2
CS1391,4,25,1584,P0
CS1392,74,17,1227,P2
CS1393,99,19,1437,P2
CS1394,5,28,2046,P0
CS1395,14,22,1704,P0
CS1396,31,25,1852,P2
CS1397,166,30,2156,P2
CS1398,29,20,1354,P0
CS1399,23,26,1832,P0
CS1400,76,18,1193,P2
CS1401,14,30,2023,P0
CS1402,30,22,1660,P0
CS1403,43,22,1652,P2
CS1404,50,28,1900,P2
CS1405,19,26,1943,P0
CS1406,14,27,1842,P0
CS1407,13,28,1916,P0
CS1408,241,17,1214,P2
CS1409,86,24,1464,P2
CS1410,59,15,1160,P2
CS1411,56,17,1222,P2
CS1412,15,22,1599,P0
CS1413,59,19,1396,P2
CS1414,153,20,1437,P2
CS1415,74,27,1752,P2
CS1416,12,20,1513,P0
CS1417,50,15,1076,P2
CS1418,150,14,1053,P2
CS1419,0,27,1915,P0
CS1420,81,25,1923,P2
CS1421,59,27,1896,P2
CS1422,5,15,1211,P0
CS1423,55,20,1182,P2
CS1424,10,24,1753,P0
CS1425,71,23,1688,P2
CS1426,21,21,1538,P0
CS1427,7,15,985,P2
CS1428,85,25,1948,P2
CS1429,132,18,1261,P2
CS1430,13,21,1440,P0
CS1431,12,18,1257,P0
CS1432,3,19,1362,P0
CS1433,39,20,1468,P2
CS1434,11,27,1758,P0
CS1435,46,25,1700,P2
CS1436,59,14,977,P1
CS1437,28,12,880,P2
CS1438,36,20,1374,P2
CS1439,34,16,1160,P2
CS1440,101,22,1577,P2
CS1441,68,20,1351,P2
CS1442,8,20,1225,P0
CS1443,53,24,1876,P2
CS1444,35,23,1756,P2
CS1445,2,23,1526,P0
CS1446,13,15,991,P2
CS1447,5,14,1001,P2
CS1448,39,16,1239,P2
CS1449,2,20,1402,P0
CS1450,24,20,1251,P0
CS1451,20,22,1715,P0
CS1452,108,15,941,P2
CS1453,132,22,1640,P2
CS1454,20,17,1126,P0
CS1455,2,18,1301,P0
CS1456,204,20,1363,P2
CS1457,91,15,929,P2
CS1458,5,20,1422,P0
CS1459,124,24,1627,P2
CS1460,41,18,1185,P2
CS1461,27,23,1567,P0
CS1462,48,24,1616,P2
CS1463,128,27,1807,P2
CS1464,236,21,1613,P2
CS1465,2,22,1631,P0
CS1466,22,17,1190,P0
CS1467,218,18,1233,P2
CS1468,9,21,1412,P0
CS1469,9,19,1387,P0
CS1470,52,22,1649,P2
CS1471,4,20,1325,P0
CS1472,8,19,1241,P0
CS1473,3,25,1695,P0
CS1474,89,21,1487,P2
CS1475,55,18,1197,P2
CS1476,77,20,1430,P2
CS1477,13,18,1185,P0
CS1478,90,19,1300,P2
CS1479,57,20,1567,P2
CS1480,82,17,1251,P2
CS1481,448,13,876,P2
CS1482,36,12,732,P1
CS1483,74,24,1774,P2
CS1484,99,16,1221,P2
CS1485,22,25,1814,P0
CS1486,48,19,1377,P2
CS1487,28,10,599,P2
CS1488,13,23,1595,P0
CS1489,33,15,950,P2
CS1490,23,25,1788,P0
CS1491,87,17,1244,P2
CS1492,37,19,1358,P2
CS1493,5,21,1531,P0
CS1494,118,21,1502,P2
CS1495,18,17,1138,P0
CS1496,23,18,1222,P0
CS1497,7,20,1445,P0
CS1498,56,22,1519,P2
CS1499,45,26,1879,P2
CS1500,164,15,983,P2
CS1501,35,26,1965,P2
CS1502,5,22,1613,P0
CS1503,1,27,1927,P0
CS1504,44,13,825,P1
CS1505,52,25,1703,P2
CS1506,76,18,1307,P2
CS1507,19,21,1280,P0
CS1508,14,28,1933,P0
CS1509,146,20,1383,P2
CS1510,3,26,1792,P0
CS1511,50,18,1253,P2
CS1512,23,20,1239,P0
CS1513,106,22,1444,P2
CS1514,161,16,1046,P2
CS1515,14,22,1742,P0
CS1516,101,18,1308,P2
CS1517,85,18,1168,P2
CS1518,124,19,1151,P2
CS1519,11,15,962,P2
CS1520,3,18,1162,P0
CS1521,194,9,671,P2
CS1522,96,14,894,P2
CS1523,215,15,928,P2
CS1524,130,17,1075,P2
CS1525,27,17,1215,P0
CS1526,31,19,1324,P2
CS1527,13,19,1187,P0
CS1528,3,24,1660,P0
CS1529,9,25,1823,P0
CS1530,251,10,626,P2
CS1531,35,25,1793,P2
CS1532,283,17,1140,P2
CS1533,43,23,1606,P2
CS1534,68,20,1379,P2
CS1535,83,24,1904,P2
CS1536,35,12,753,P1
CS1537,5,20,1323,P0
CS1538,2,19,1304,P0
CS1539,25,20,1371,P0
CS1540,38,19,1199,P2
CS1541,141,30,2273,P2
CS1542,170,27,1808,P2
CS1543,1,12,948,P2
CS1544,53,19,1334,P2
CS1545,21,28,1935,P0
CS1546,199,18,1436,P2
CS1547,25,22,1600,P0
CS1548,17,23,1755,P0
CS1549,25,20,1393,P0
CS1550,50,22,1583,P2
CS1551,101,18,1300,P2
CS1552,30,22,1604,P0
CS1553,187,20,1444,P2
CS1554,141,17,993,P2
CS1555,62,23,1571,P2
CS1556,22,13,1031,P2
CS1557,41,30,1992,P2
CS1558,19,23,1500,P0
CS1559,6,20,1613,P0
CS1560,49,18,1352,P2
CS1561,1,15,1082,P0
CS1562,378,12,711,P2
CS1563,404,17,1108,P2
CS1564,18,16,1304,P0
CS1565,120,17,1147,P2
CS1566,190,21,1491,P2
CS1567,21,19,1465,P0
CS1568,33,20,1604,P2
CS1569,25,15,1074,P0
CS1570,102,25,1782,P2
CS1571,31,20,1503,P2
CS1572,34,15,1085,P2
CS1573,43,19,1539,P2
CS1574,7,18,1018,P0
CS1575,46,26,1611,P2
CS1576,93,16,1074,P2
CS1577,19,21,1525,P0
CS1578,88,16,1125,P2
CS1579,26,20,1433,P0
CS1580,190,33,2329,P2
CS1581,37,23,1501,P2
CS1582,18,27,2009,P0
CS1583,29,25,1919,P0
CS1584,14,21,1512,P0
CS1585,93,19,1167,P2
CS1586,73,20,1441,P2
CS1587,37,27,1900,P2
CS1588,9,25,1591,P0
CS1589,15,15,1151,P0
CS1590,154,16,964,P2
CS1591,154,18,1144,P2
CS1592,34,19,1215,P2
CS1593,24,20,1406,P0
CS1594,23,13,901,P2
CS1595,106,10,648,P2
CS1596,18,19,1342,P0
CS1597,66,23,1611,P2
CS1598,39,20,1289,P2
CS1599,57,15,1028,P2
CS1600,19,20,1331,P0
CS1601,79,27,1787,P2
CS1602,26,20,1401,P0
CS1603,125,19,1374,P2
CS1604,15,28,1950,P0
CS1605,16,27,1685,P0
CS1606,2,13,781,P2
CS1607,61,19,1384,P2
CS1608,49,14,973,P1
CS1609,137,20,1375,P2
CS1610,32,19,1326,P2
CS1611,258,23,1794,P2
CS1612,19,26,1759,P0
CS1613,127,21,1347,P2
CS1614,10,22,1568,P0
CS1615,3,20,1419,P0
CS1616,10,19,1434,P0
CS1617,104,27,1784,P2
CS1618,175,13,887,P2
CS1619,11,21,1323,P0
CS1620,300,16,1320,P2
CS1621,21,26,1894,P0
CS1622,0,20,1360,P0
CS1623,16,26,1777,P0
CS1624,39,25,1832,P2
CS1625,5,14,950,P2
CS1626,61,17,1172,P2
CS1627,77,16,1043,P2
CS1628,21,21,1456,P0
CS1629,3,22,1394,P0
CS1630,1,20,1393,P0
CS1631,41,18,1223,P2
CS1632,8,17,1187,P0
CS1633,18,26,1763,P0
CS1634,14,15,1044,P0
CS1635,96,23,1573,P2
CS1636,68,19,1347,P2
CS1637,22,22,1496,P0
CS1638,230,15,1035,P2
CS1639,12,23,1619,P0
CS1640,60,19,1232,P2
CS1641,8,17,1232,P0
CS1642,34,24,1672,P2
CS1643,22,27,2087,P0
CS1644,75,22,1542,P2
CS1645,243,19,1412,P2
CS1646,27,17,1185,P0
CS1647,16,21,1401,P0
CS1648,116,24,1776,P2
CS1649,48,16,1197,P2
CS1650,113,24,1832,P2
CS1651,104,13,927,P2
CS1652,1,26,1726,P0
CS1653,117,26,1986,P2
CS1654,90,19,1384,P2
CS1655,28,14,955,P2
CS1656,51,14,966,P1
CS1657,125,18,1105,P2
CS1658,29,20,1389,P0
CS1659,43,19,1311,P2
CS1660,20,24,1745,P0
CS1661,27,32,2051,P0
CS1662,22,17,1033,P0
CS1663,96,23,1487,P2
CS1664,13,25,1954,P0
CS1665,155,16,1033,P2
CS1666,50,18,1385,P2
CS1667,73,20,1313,P2
CS1668,49,17,1227,P2
CS1669,15,15,1105,P0
CS1670,81,16,1191,P2
CS1671,84,17,1246,P2
CS1672,131,15,1110,P2
CS1673,54,26,1784,P2
CS1674,54,17,1088,P2
CS1675,38,28,2124,P2
CS1676,66,28,2088,P2
CS1677,64,21,1439,P2
CS1678,75,18,1230,P2
CS1679,7,28,1976,P0
CS1680,48,18,1151,P2
CS1681,113,21,1467,P2
CS1682,126,15,1075,P2
CS1683,14,17,1245,P0
CS1684,68,18,1241,P2
CS1685,215,22,1569,P2
CS1686,67,24,1647,P2
CS1687,24,22,1656,P0
CS1688,131,17,1167,P2
CS1689,74,16,993,P2
CS1690,23,19,1354,P0
CS1691,73,20,1523,P2
CS1692,1,23,1592,P0
CS1693,15,12,908,P2
CS1694,65,22,1330,P2
CS1695,93,32,2174,P2
CS1696,129,19,1325,P2
CS1697,107,15,1082,P2
CS1698,5,19,1397,P0
CS1699,16,18,1261,P0
CS1700,247,17,1186,P2
CS1701,178,18,1190,P2
CS1702,26,17,1028,P0
CS1703,69,15,890,P2
CS1704,18,22,1484,P0
CS1705,78,21,1553,P2
CS1706,30,23,1681,P0
CS1707,41,22,1627,P2
CS1708,40,25,1790,P2
CS1709,159,23,1629,P2
CS1710,265,22,1577,P2
CS1711,85,23,1548,P2
CS1712,120,21,1411,P2
CS1713,9,19,1495,P0
CS1714,0,16,1248,P0
CS1715,47,20,1314,P2
CS1716,352,6,440,P2
CS1717,49,14,963,P1
CS1718,77,18,1284,P2
CS1719,35,17,1166,P2
CS1720,0,17,1104,P0
CS1721,20,24,1687,P0
CS1722,14,19,1320,P0
CS1723,35,17,1146,P2
CS1724,29,18,1223,P0
CS1725,59,27,1778,P2
CS1726,27,23,1529,P0
CS1727,11,25,1702,P0
CS1728,106,26,1896,P2
CS1729,13,24,1567,P0
CS1730,131,19,1260,P2
CS1731,14,17,1145,P0
CS1732,25,18,1353,P0
CS1733,130,20,1506,P2
CS1734,190,18,1235,P2
CS1735,13,14,952,P2
CS1736,83,24,1653,P2
CS1737,90,23,1737,P2
CS1738,35,20,1337,P2
CS1739,48,17,1199,P2
CS1740,39,25,1902,P2
CS1741,147,19,1264,P2
CS1742,70,19,1326,P2
CS1743,168,17,1405,P2
CS1744,13,14,1066,P2
CS1745,24,22,1615,P0
CS1746,274,26,1878,P2
CS1747,4,17,1099,P0
CS1748,2,22,1498,P0
CS1749,17,17,1174,P0
CS1750,12,22,1543,P0
CS1751,49,23,1504,P2
CS1752,17,22,1656,P0
CS1753,86,18,1180,P2
CS1754,78,17,1177,P2
CS1755,86,17,1164,P2
CS1756,235,18,1176,P2
CS1757,80,31,2238,P2
CS1758,65,20,1337,P2
CS1759,107,24,1654,P2
CS1760,62,21,1570,P2
CS1761,1,16,1144,P0
CS1762,92,14,1027,P2
CS1763,28,24,1689,P0
CS1764,35,15,1085,P2
CS1765,84,14,1079,P2
CS1766,120,19,1067,P2
CS1767,32,26,1674,P2
CS1768,95,25,1794,P2
CS1769,180,20,1356,P2
CS1770,6,25,1734,P0
CS1771,12,19,1337,P0
CS1772,53,18,1348,P2
CS1773,86,22,1442,P2
CS1774,4,25,1756,P0
CS1775,53,13,848,P1
CS1776,58,25,1782,P2
CS1777,79,14,1044,P2
CS1778,31,19,1368,P2
CS1779,14,16,1086,P0
CS1780,9,19,1265,P0
CS1781,189,29,2131,P2
CS1782,76,17,1174,P2
CS1783,98,17,1210,P2
CS1784,119,15,993,P2
CS1785,18,29,2103,P0
CS1786,35,31,2218,P2
CS1787,11,22,1443,P0
CS1788,154,24,1548,P2
CS1789,15,16,1192,P0
CS1790,180,18,1241,P2
CS1791,0,21,1607,P0
CS1792,72,17,1179,P2
CS1793,16,17,1035,P0
CS1794,0,24,1764,P0
CS1795,130,17,1331,P2
CS1796,44,20,1462,P2
CS1797,50,23,1393,P2
CS1798,99,27,1826,P2
CS1799,41,14,966,P1
CS1800,2,16,1053,P0
CS1801,112,15,994,P2
CS1802,10,27,1913,P0
CS1803,127,21,1562,P2
CS1804,39,19,1247,P2
CS1805,24,31,2076,P0
CS1806,45,15,1025,P2
CS1807,51,26,1732,P2
CS1808,90,14,851,P1
CS1809,28,21,1500,P0
CS1810,42,16,1165,P2
CS1811,16,18,1425,P0
CS1812,5,27,1783,P0
CS1813,115,25,1757,P2
CS1814,137,21,1462,P2
CS1815,39,14,959,P1
CS1816,35,22,1723,P2
CS1817,18,18,1315,P0
CS1818,19,22,1674,P0
CS1819,37,26,1867,P2
CS1820,44,25,1898,P2
CS1821,227,20,1418,P2
CS1822,28,13,921,P2
CS1823,40,16,1198,P2
CS1824,8,17,1271,P0
CS1825,13,23,1734,P0
CS1826,72,15,1072,P2
CS1827,12,24,1680,P0
CS1828,49,16,1154,P2
CS1829,18,19,1454,P0
CS1830,98,17,1175,P2
CS1831,14,26,1759,P0
CS1832,103,25,1796,P2
CS1833,67,18,1139,P2
CS1834,435,13,787,P2
CS1835,41,19,1389,P2
CS1836,263,26,1905,P2
CS1837,42,19,1469,P2
CS1838,10,21,1409,P0
CS1839,164,16,1123,P2
CS1840,40,19,1183,P2
CS1841,13,17,1110,P0
CS1842,3,21,1568,P0
CS1843,2,20,1432,P0
CS1844,18,22,1452,P0
CS1845,239,13,938,P2
CS1846,86,26,1812,P2
CS1847,50,22,1576,P2
CS1848,80,17,1279,P2
CS1849,9,11,716,P2
CS1850,7,24,1908,P0
CS1851,30,21,1444,P0
CS1852,102,14,1020,P2
CS1853,64,17,1212,P2
CS1854,109,22,1686,P2
CS1855,107,19,1256,P2
CS1856,16,17,1063,P0
CS1857,7,25,1717,P0
CS1858,67,21,1389,P2
CS1859,34,19,1198,P2
CS1860,7,16,1062,P0
CS1861,8,20,1376,P0
CS1862,77,24,1634,P2
CS1863,35,23,1635,P2
CS1864,19,27,1992,P0
CS1865,96,31,2245,P2
CS1866,113,25,1890,P2
CS1867,66,20,1271,P2
CS1868,66,16,1048,P2
CS1869,39,14,868,P1
CS1870,43,24,1472,P2
CS1871,141,20,1449,P2
CS1872,21,20,1416,P0
CS1873,55,16,1128,P2
CS1874,14,16,1054,P0
CS1875,24,19,1481,P0
CS1876,26,21,1491,P0
CS1877,92,25,1681,P2
CS1878,124,23,1775,P2
CS1879,52,18,1160,P2
CS1880,129,18,1278,P2
CS1881,158,13,902,P2
CS1882,56,9,673,P1
CS1883,50,15,1117,P2
CS1884,36,13,802,P1
CS1885,2,24,1781,P0
CS1886,106,18,1157,P2
CS1887,63,19,1506,P2
CS1888,39,23,1739,P2
CS1889,17,11,717,P2
CS1890,13,23,1591,P0
CS1891,309,14,927,P2
CS1892,45,18,1334,P2
CS1893,82,19,1262,P2
CS1894,13,21,1456,P0
CS1895,130,19,1357,P2
CS1896,171,12,874,P2
CS1897,73,21,1491,P2
CS1898,78,19,1470,P2
CS1899,24,11,729,P2
CS1900,117,24,1737,P2
CS1901,166,22,1620,P2
CS1902,31,15,1109,P2
CS1903,6,25,1826,P0
CS1904,122,18,1275,P2
CS1905,14,24,1551,P0
CS1906,32,28,2012,P2
CS1907,61,20,1423,P2
CS1908,105,27,1833,P2
CS1909,13,17,1255,P0
CS1910,74,16,1142,P2
CS1911,11,24,1667,P0
CS1912,2,23,1510,P0
CS1913,31,16,959,P2
CS1914,25,18,1254,P0
CS1915,182,6,497,P2
CS1916,8,23,1700,P0
CS1917,113,17,1028,P2
CS1918,150,13,871,P2
CS1919,363,20,1256,P2
CS1920,49,28,1939,P2
CS1921,51,26,2011,P2
CS1922,51,20,1418,P2
CS1923,77,30,2130,P2
CS1924,30,25,1774,P0
CS1925,4,28,2000,P0
CS1926,117,22,1511,P2
CS1927,111,19,1220,P2
CS1928,7,14,798,P2
CS1929,44,16,1095,P2
CS1930,96,22,1559,P2
CS1931,128,19,1236,P2
CS1932,143,21,1538,P2
CS1933,45,23,1568,P2
CS1934,44,18,1262,P2
CS1935,44,21,1517,P2
CS1936,82,15,1080,P2
CS1937,107,18,1231,P2
CS1938,23,22,1636,P0
CS1939,177,19,1297,P2
CS1940,252,25,1800,P2
CS1941,14,15,1044,P0
CS1942,89,18,1308,P2
CS1943,6,20,1459,P0
CS1944,17,20,1399,P0
CS1945,50,21,1527,P2
CS1946,10,22,1581,P0
CS1947,88,20,1400,P2
CS1948,54,17,1230,P2
CS1949,54,26,1989,P2
CS1950,1,23,1853,P0
CS1951,114,20,1331,P2
CS1952,96,18,1397,P2
CS1953,9,20,1534,P0
CS1954,5,21,1549,P0
CS1955,32,20,1361,P2
CS1956,201,16,1131,P2
CS1957,68,23,1698,P2
CS1958,107,16,987,P2
CS1959,121,22,1537,P2
CS1960,10,19,1424,P0
CS1961,25,15,1102,P0
CS1962,246,14,1062,P2
CS1963,7,19,1352,P0
CS1964,15,24,1499,P0
CS1965,132,17,1182,P2
CS1966,21,16,1159,P0
CS1967,39,18,1279,P2
CS1968,12,22,1429,P0
CS1969,40,29,1851,P2
CS1970,4,15,1133,P0
CS1971,39,16,1130,P2
CS1972,26,22,1630,P0
CS1973,128,10,664,P2
CS1974,178,21,1447,P2
CS1975,85,27,1974,P2
CS1976,1,14,1036,P2
CS1977,18,18,1299,P0
CS1978,75,31,2220,P2
CS1979,124,17,1145,P2
CS1980,17,22,1583,P0
CS1981,7,17,1298,P0
CS1982,24,32,2354,P0
CS1983,236,15,1070,P2
CS1984,307,15,1043,P2
CS1985,55,20,1411,P2
CS1986,29,17,1148,P0
CS1987,34,24,1720,P2
CS1988,6,23,1569,P0
CS1989,9,19,1286,P0
CS1990,53,18,1276,P2
CS1991,1,22,1677,P0
CS1992,31,18,1408,P2
CS1993,175,19,1164,P2
CS1994,127,16,1115,P2
CS1995,167,23,1490,P2
CS1996,58,28,2038,P2
CS1997,135,17,1153,P2
CS1998,21,25,1779,P0
CS1999,7,14,1002,P2
CS2000,68,21,1395,P2
CS2001,125,21,1280,P2
CS2002,52,19,1419,P2
CS2003,71,24,1687,P2
CS2004,43,20,1444,P2
CS2005,29,24,1662,P0
CS2006,69,15,1114,P2
CS2007,53,18,1331,P2
CS2008,11,21,1442,P0
CS2009,5,12,943,P2
CS2010,109,17,1076,P2
CS2011,515,14,1078,P2
CS2012,109,11,862,P2
CS2013,55,18,1177,P2
CS2014,13,11,871,P2
CS2015,91,21,1542,P2
CS2016,95,21,1595,P2
CS2017,169,20,1286,P2
CS2018,33,19,1404,P2
CS2019,13,19,1390,P0
CS2020,130,18,1331,P2
CS2021,254,16,1211,P2
CS2022,29,26,1981,P0
CS2023,54,17,1212,P2
CS2024,172,17,1176,P2
CS2025,81,17,1252,P2
CS2026,2,28,1907,P0
CS2027,3,25,1648,P0
CS2028,82,14,891,P1
CS2029,137,17,1046,P2
CS2030,24,25,1674,P0
CS2031,37,24,1737,P2
CS2032,143,19,1289,P2
CS2033,197,9,571,P2
CS2034,200,21,1447,P2
CS2035,18,19,1344,P0
CS2036,43,26,1827,P2
CS2037,240,24,1663,P2
CS2038,49,21,1523,P2
CS2039,38,18,1302,P2
CS2040,1,22,1347,P0
CS2041,216,20,1301,P2
CS2042,54,23,1643,P2
CS2043,69,21,1420,P2
CS2044,43,20,1219,P2
CS2045,66,20,1460,P2
CS2046,7,13,987,P2
CS2047,29,23,1611,P0
